code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-32;32;1976; 41 CENTRAL; 2TO DESPACHO;A32;W332924C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_737X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;38;PIEZA: # 1 Q: 38;1;Si;;;;;;;
1976-33;33;1976; 41 CENTRAL; 2TO DESPACHO;A33;W332924C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_737X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;35;PIEZA: # 2 Q: 35;1;Si;;;;;;;
1976-34;34;1976; 41 CENTRAL; 2TO DESPACHO;A34;W362924C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_737X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 2 Q: 4;1;Si;;;;;;;
1976-35;35;1976; 41 CENTRAL; 2TO DESPACHO;A35;B09C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_762X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;6;PIEZA: # 1 Q: 6;1;Si;;;;;;;
1976-36;36;1976; 41 CENTRAL; 2TO DESPACHO;A36;B09C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_762X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;9;PIEZA: # 2 Q: 9;1;Si;;;;;;;
1976-37;37;1976; 41 CENTRAL; 2TO DESPACHO;A37;B1D15C_GED_IL_406B_267_H15D1;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_762X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;19;PIEZA: # 1 Q: 19;1;Si;;;;;;;
1976-38;38;1976; 41 CENTRAL; 2TO DESPACHO;A38;B1D15C_GED_IR_406B_267_H15D1;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_762X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;21;PIEZA: # 2 Q: 21;1;Si;;;;;;;
1976-39;39;1976; 41 CENTRAL; 2TO DESPACHO;A39;VBSFP27_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_655X160;4;1;0;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;1;2;Canto PVC 19mm Cal 0.5 Arlington Frosty Textura Arena Profundo;25;PIEZA: # 4 Q: 25;1;Si;;;;;;;
1976-40;40;1976; 41 CENTRAL; 2TO DESPACHO;A40;VBSFP27C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_655X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;16;PIEZA: # 4 Q: 16;1;Si;;;;;;;
1976-41;41;1976; 41 CENTRAL; 2TO DESPACHO;A41;VBSFP27C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_655X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;14;PIEZA: # 4 Q: 14;1;Si;;;;;;;
